P68,2008,Datuk Chang Ko Youn,GERAKAN,14003 
P68,2008,Ngeh Koo Ham,DAP,15831  
P68,2004,Datuk Seri Lim Keng Yaik,GERAKAN,15867  
P68,2004,Nga Hock Cheh,DAP,11303 

P69,2008,Mohd. Nizar Zakaria,UMNO,12399  
P69,2008,Dr. Najihatussalehah Ahmad,PAS,9526 
P69,2004,Nasaruddin Hashim,UMNO,12808  
P69,2004,Muhammad Ismi Mat Taib,PAS,8112 

P70,2008,Datuk Lee Chee Leong,MCA,20126  
P70,2008,Keong Meng sing,DAP,17429 
P70,2004,Tan Sri Hew See Yong,MCA,23129  
P70,2004,Liew Ah Kim,DAP,13655 

P71,2008,Ling Hee Leong,MCA,22328 
P71,2008,Lee Boon Chye,PKR,29696  
P71,2004,Tan Sri Dr Ting Chew Peh,MCA,29660  
P71,2004,Dr Lee Boon Chye,PKR,15400 

P72,2008,Datuk M. Saravanan,MIC,14084  
P72,2008,Tan Seng Toh,PKR,11064 
P72,2004,Datuk S Veerasingam,MIC,16945  
P72,2004,Dr Mohd Radzi Othman,PAS,7359 

P73,2008,Datuk Tajuddin Abdul Rahman,UMNO,16928  
P73,2008,Mustaffa Kamil Ayub,PKR,14240 
P73,2004,Tan Sri Ramli Ngah Talib,UMNO,19422  
P73,2004,Muhaimin Sulam,PAS,10875 

P74,2008,Kong Cho Ha,MCA,25698  
P74,2008,Suwardi Sapuan,PKR,25400 
P74,2004,Kong Cho Ha,MCA,27415  
P74,2004,Mustafa Kamil Ayub,PKR,15801 

P75,2008,Datuk Ahmad Zahid Hamidi,UMNO,13115  
P75,2008,Madzi Hasan,PKR,10423 
P75,2004,Datuk Ahmad Zahid Hamidi,UMNO,17049  
P75,2004,A Ayadhurai,PKR,4510 

P76,2008,Mah Siew Keong,GERAKAN,17016 
P76,2008,M. Manogaran,DAP,18486  
P76,2004,Mah Siew Keong,GERAKAN,18665  
P76,2004,Wu Him Ven,DAP,8829 
P76,2004,N Gobalakrishnan,PKR,6128

P77,2008,Ong Ka Chuan,MCA,21016  
P77,2008,Mohamad Azman Marjohan,PKR,15594 
P77,2004,Datuk Loke Yuen Yow,MCA,24025  
P77,2004,Shamsuddin Abdul Rahman,PKR,9489 

P78,2008,S.K. Devamany,MIC,9164  
P78,2008,J Apalasamy,DAP,6047 
P78,2004,Devamany A/L Krishnasamy,MIC,10226  
P78,2004,Apalasamy A/L Jataliah,DAP,3966 

P79,2008,Muhamad Shahrum,UMNO,12611  
P79,2008,Mohamad Nilam Abdul Manap,PAS,8474 
P79,2004,Mohamad Shahrum Osman,UMNO,13870  
P79,2004,Mohd Zai Mustafa,PAS,6246 

P80,2008,Datuk Ng Yen Yen,MCA,18078  
P80,2008,Abu Bakar Lebai Sudin,DAP,15326 
P80,2004,Datuk Dr Ng Yen Yen,MCA,20472  
P80,2004,Choong Siew Oon,DAP,10650 

P81,2008,Tengku Azlan Sultan Abu Bakar,UMNO,19543  
P81,2008,Dr Hamzah Jaafar,PAS,17597 
P81,2004,Datuk Seri Tengku Azlan Sultan Abu Bakar,UMNO,21349  
P81,2004,Dr Hamzah Jaafar,PAS,12892 

P82,2008,Salamon Ali Rizal Abd Rahman,UMNO,18796 
P82,2008,Azan bin Ismail,PKR,19823  
P82,2004,Datuk Wan Adnan Wan Mamat,UMNO,25177  
